[Name]
Series 1 at Qout

[Data]
Time [ s ],Qout [ kg m s^-3 ]
1.66000000e+002, 1.89202979e+003
1.67000000e+002, 1.88957080e+003
1.68000000e+002, 1.89072925e+003
1.69000000e+002, 1.89149683e+003
1.70000000e+002, 1.88996008e+003
1.71000000e+002, 1.88619019e+003
1.72000000e+002, 1.88227673e+003
1.73000000e+002, 1.87842859e+003
1.74000000e+002, 1.87469617e+003
1.75000000e+002, 1.87131580e+003
1.76000000e+002, 1.86798499e+003
1.77000000e+002, 1.86447058e+003
1.78000000e+002, 1.86035303e+003
1.79000000e+002, 1.85552991e+003
1.80000000e+002, 1.85054883e+003
1.81000000e+002, 1.84595923e+003
1.82000000e+002, 1.84200281e+003
1.83000000e+002, 1.83905750e+003
1.84000000e+002, 1.83728137e+003
1.85000000e+002, 1.83599866e+003
1.86000000e+002, 1.83458752e+003
1.87000000e+002, 1.83277832e+003
1.88000000e+002, 1.83054736e+003
1.89000000e+002, 1.82790820e+003
1.90000000e+002, 1.82482166e+003
1.91000000e+002, 1.82139990e+003
1.92000000e+002, 1.81785632e+003
1.93000000e+002, 1.81451550e+003
1.94000000e+002, 1.81139978e+003
1.95000000e+002, 1.80837024e+003
1.96000000e+002, 1.80537036e+003
1.97000000e+002, 1.80207056e+003
1.98000000e+002, 1.79806763e+003
1.99000000e+002, 1.79403906e+003
2.00000000e+002, 1.79099170e+003
2.01000000e+002, 1.79004297e+003
2.02000000e+002, 1.79163196e+003
2.03000000e+002, 1.79463586e+003
2.04000000e+002, 1.79760938e+003
2.05000000e+002, 1.79959619e+003
2.06000000e+002, 1.80043970e+003
2.07000000e+002, 1.80031445e+003
2.08000000e+002, 1.79943176e+003
2.09000000e+002, 1.79799451e+003
2.10000000e+002, 1.79622314e+003
2.11000000e+002, 1.79454089e+003
2.12000000e+002, 1.79296582e+003
2.13000000e+002, 1.79134167e+003
2.14000000e+002, 1.78961963e+003
2.15000000e+002, 1.78768860e+003
2.16000000e+002, 1.78549719e+003
2.17000000e+002, 1.78304443e+003
2.18000000e+002, 1.78044861e+003
2.19000000e+002, 1.77789514e+003
2.20000000e+002, 1.77541870e+003
2.21000000e+002, 1.77303149e+003
2.22000000e+002, 1.77071960e+003
2.23000000e+002, 1.76840393e+003
2.24000000e+002, 1.76606360e+003
2.25000000e+002, 1.76374988e+003
2.26000000e+002, 1.76152185e+003
2.27000000e+002, 1.75959863e+003
2.28000000e+002, 1.75816919e+003
2.29000000e+002, 1.75707092e+003
2.30000000e+002, 1.75616748e+003
2.31000000e+002, 1.75505688e+003
2.32000000e+002, 1.75372791e+003
2.33000000e+002, 1.75230835e+003
2.34000000e+002, 1.75086951e+003
2.35000000e+002, 1.74949182e+003
2.36000000e+002, 1.74826282e+003
2.37000000e+002, 1.74711816e+003
2.38000000e+002, 1.74591064e+003
2.39000000e+002, 1.74409656e+003
2.40000000e+002, 1.74089685e+003
2.41000000e+002, 1.73737292e+003
2.42000000e+002, 1.73422241e+003
2.43000000e+002, 1.73151685e+003
2.44000000e+002, 1.72918457e+003
2.45000000e+002, 1.72708923e+003
2.46000000e+002, 1.72503491e+003
2.47000000e+002, 1.72186780e+003
2.48000000e+002, 1.71834277e+003
2.49000000e+002, 1.71412170e+003
2.50000000e+002, 1.70994482e+003
2.51000000e+002, 1.70624390e+003
2.52000000e+002, 1.70303223e+003
2.53000000e+002, 1.70028076e+003
2.54000000e+002, 1.69770667e+003
2.55000000e+002, 1.69483679e+003
2.56000000e+002, 1.69220374e+003
2.57000000e+002, 1.68962805e+003
2.58000000e+002, 1.68664221e+003
2.59000000e+002, 1.68376990e+003
2.60000000e+002, 1.68106921e+003
2.61000000e+002, 1.67842578e+003
2.62000000e+002, 1.67569946e+003
2.63000000e+002, 1.67298364e+003
2.64000000e+002, 1.66997778e+003
2.65000000e+002, 1.66700281e+003
2.66000000e+002, 1.66436804e+003
2.67000000e+002, 1.66215576e+003
2.68000000e+002, 1.66022791e+003
2.69000000e+002, 1.65834863e+003
2.70000000e+002, 1.65584998e+003
2.71000000e+002, 1.65208435e+003
2.72000000e+002, 1.64823572e+003
2.73000000e+002, 1.64477417e+003
2.74000000e+002, 1.64180676e+003
2.75000000e+002, 1.63935852e+003
2.76000000e+002, 1.63739111e+003
2.77000000e+002, 1.63491321e+003
2.78000000e+002, 1.63183069e+003
2.79000000e+002, 1.62906335e+003
2.80000000e+002, 1.62663464e+003
2.81000000e+002, 1.62435535e+003
2.82000000e+002, 1.62205518e+003
2.83000000e+002, 1.61914270e+003
2.84000000e+002, 1.61541724e+003
2.85000000e+002, 1.61163000e+003
2.86000000e+002, 1.60813464e+003
2.87000000e+002, 1.60507568e+003
2.88000000e+002, 1.60248328e+003
2.89000000e+002, 1.59990710e+003
2.90000000e+002, 1.59741833e+003
2.91000000e+002, 1.59501855e+003
2.92000000e+002, 1.59268103e+003
2.93000000e+002, 1.59031677e+003
2.94000000e+002, 1.58784668e+003
2.95000000e+002, 1.58532263e+003
2.96000000e+002, 1.58279138e+003
2.97000000e+002, 1.58033301e+003
2.98000000e+002, 1.57794519e+003
2.99000000e+002, 1.57554541e+003
3.00000000e+002, 1.57284485e+003
3.01000000e+002, 1.57003088e+003
3.02000000e+002, 1.56773047e+003
