[Name]
Series 1 at Xfrac

[Data]
Time [ s ],Xfrac
0.00000000e+000, 1.00000000e+000
4.99999989e-003, 1.00000000e+000
1.49999997e-002, 1.00000000e+000
2.50000004e-002, 9.99848604e-001
3.50000001e-002, 9.99106526e-001
4.50000018e-002, 9.97907877e-001
5.49999997e-002, 9.96371627e-001
6.49999976e-002, 9.94596958e-001
7.50000030e-002, 9.92649794e-001
8.50000009e-002, 9.90508437e-001
9.49999988e-002, 9.88246799e-001
1.04999997e-001, 9.85877514e-001
2.04999998e-001, 9.59537148e-001
3.05000007e-001, 9.32743788e-001
4.05000001e-001, 9.05943751e-001
5.04999995e-001, 8.79162669e-001
6.05000019e-001, 8.52404833e-001
7.04999983e-001, 8.25670779e-001
8.05000007e-001, 7.98955381e-001
9.04999971e-001, 7.72263110e-001
1.00500000e+000, 7.45593965e-001
1.10500002e+000, 7.18964279e-001
1.20500004e+000, 6.92352712e-001
1.30499995e+000, 6.65755272e-001
1.40499997e+000, 6.39201880e-001
1.50500000e+000, 6.12672150e-001
1.60500002e+000, 5.86150944e-001
1.70500004e+000, 5.59680879e-001
1.80499995e+000, 5.33234358e-001
1.90499997e+000, 5.06800532e-001
2.00500011e+000, 4.80427444e-001
2.10500002e+000, 4.54069942e-001
2.20499992e+000, 4.27740633e-001
2.30500007e+000, 4.01489735e-001
2.40499997e+000, 3.75255287e-001
2.50500011e+000, 3.49121094e-001
2.60500002e+000, 3.23092639e-001
2.70499992e+000, 2.97191828e-001
2.80500007e+000, 2.71509588e-001
2.90499997e+000, 2.45939299e-001
3.00500011e+000, 2.20573172e-001
3.10500002e+000, 1.95342764e-001
3.20499992e+000, 1.70345068e-001
3.30500007e+000, 1.45559430e-001
3.40499997e+000, 1.21107347e-001
3.50500011e+000, 9.69933867e-002
3.60500002e+000, 7.34558925e-002
3.70499992e+000, 5.06378040e-002
3.80500007e+000, 2.89949495e-002
3.90499997e+000, 9.70423780e-003
4.00500011e+000, 0.00000000e+000
4.10500002e+000, 0.00000000e+000
4.20499992e+000, 0.00000000e+000
4.30499983e+000, 0.00000000e+000
4.40500021e+000, 0.00000000e+000
4.50500011e+000, 0.00000000e+000
4.60500002e+000, 0.00000000e+000
4.70499992e+000, 0.00000000e+000
4.80499983e+000, 0.00000000e+000
4.90500021e+000, 0.00000000e+000
5.00500011e+000, 0.00000000e+000
5.10500002e+000, 0.00000000e+000


