[Name]
Series 1 at Xfrac

[Data]
Time [ s ],Xfrac
0.00000000e+000, 1.00000000e+000
4.99999989e-003, 1.00000000e+000
1.49999997e-002, 9.99653161e-001
2.50000004e-002, 9.98525321e-001
3.50000001e-002, 9.97055113e-001
4.50000018e-002, 9.95557606e-001
5.49999997e-002, 9.93892908e-001
6.49999976e-002, 9.92132902e-001
7.50000030e-002, 9.90288675e-001
8.50000009e-002, 9.88390088e-001
9.49999988e-002, 9.86450911e-001
1.04999997e-001, 9.84424710e-001
2.04999998e-001, 9.61398363e-001
3.05000007e-001, 9.37279463e-001
4.05000001e-001, 9.12684262e-001
5.04999995e-001, 8.87934387e-001
6.05000019e-001, 8.63171697e-001
7.04999983e-001, 8.38457942e-001
8.05000007e-001, 8.13802242e-001
9.04999971e-001, 7.89209843e-001
1.00500000e+000, 7.64699936e-001
1.10500002e+000, 7.40260601e-001
1.20500004e+000, 7.15894103e-001
1.30499995e+000, 6.91610336e-001
1.40499997e+000, 6.67398989e-001
1.50500000e+000, 6.43255711e-001
1.60500002e+000, 6.19201601e-001
1.70500004e+000, 5.95219553e-001
1.80499995e+000, 5.71302295e-001
1.90499997e+000, 5.47478735e-001
2.00500011e+000, 5.23731351e-001
2.10500002e+000, 5.00055790e-001
2.20499992e+000, 4.76453066e-001
2.30500007e+000, 4.52946037e-001
2.40499997e+000, 4.29514736e-001
2.50500011e+000, 4.06154960e-001
2.60500002e+000, 3.82896513e-001
2.70499992e+000, 3.59731644e-001
2.80500007e+000, 3.36651772e-001
2.90499997e+000, 3.13661486e-001
3.00500011e+000, 2.90799826e-001
3.10500002e+000, 2.68053979e-001
3.20499992e+000, 2.45436221e-001
3.30500007e+000, 2.22968534e-001
3.40499997e+000, 2.00716317e-001
3.50500011e+000, 1.78713083e-001
3.60500002e+000, 1.57040954e-001
3.70499992e+000, 1.35813415e-001
3.80500007e+000, 1.15178362e-001
3.90499997e+000, 9.52095091e-002
4.00500011e+000, 7.59886354e-002
4.10500002e+000, 5.76428249e-002
4.20499992e+000, 4.03792933e-002
4.30499983e+000, 2.45604087e-002
4.40500021e+000, 1.08642410e-002
4.50500011e+000, 1.06069946e-003
4.60500002e+000, 0.00000000e+000
4.70499992e+000, 0.00000000e+000
4.80499983e+000, 0.00000000e+000
4.90500021e+000, 0.00000000e+000
5.00500011e+000, 0.00000000e+000
5.10500002e+000, 0.00000000e+000


