[Name]
Series 1 at Qout

[Data]
Time [ s ],Qout [ kg m s^-3 ]
1.66000000e+002, 2.62632593e+003
1.67000000e+002, 2.62190747e+003
1.68000000e+002, 2.61748364e+003
1.69000000e+002, 2.61304980e+003
1.70000000e+002, 2.60862012e+003
1.71000000e+002, 2.60419775e+003
1.72000000e+002, 2.59979199e+003
1.73000000e+002, 2.59539966e+003
1.74000000e+002, 2.59101611e+003
1.75000000e+002, 2.58663525e+003
1.76000000e+002, 2.58225879e+003
1.77000000e+002, 2.57789575e+003
1.78000000e+002, 2.57355762e+003
1.79000000e+002, 2.56925366e+003
1.80000000e+002, 2.56499243e+003
1.81000000e+002, 2.56077637e+003
1.82000000e+002, 2.55660376e+003
1.83000000e+002, 2.55247607e+003
1.84000000e+002, 2.54839404e+003
1.85000000e+002, 2.54435840e+003
1.86000000e+002, 2.54036841e+003
1.87000000e+002, 2.53642505e+003
1.88000000e+002, 2.53252563e+003
1.89000000e+002, 2.52866455e+003
1.90000000e+002, 2.52483325e+003
1.91000000e+002, 2.52102075e+003
1.92000000e+002, 2.51721606e+003
1.93000000e+002, 2.51340918e+003
1.94000000e+002, 2.50959204e+003
1.95000000e+002, 2.50575854e+003
1.96000000e+002, 2.50190503e+003
1.97000000e+002, 2.49803027e+003
1.98000000e+002, 2.49413452e+003
1.99000000e+002, 2.49021851e+003
2.00000000e+002, 2.48628442e+003
2.01000000e+002, 2.48233521e+003
2.02000000e+002, 2.47837451e+003
2.03000000e+002, 2.47440576e+003
2.04000000e+002, 2.47043286e+003
2.05000000e+002, 2.46645996e+003
2.06000000e+002, 2.46249146e+003
2.07000000e+002, 2.45853076e+003
2.08000000e+002, 2.45458252e+003
2.09000000e+002, 2.45065015e+003
2.10000000e+002, 2.44673657e+003
2.11000000e+002, 2.44284302e+003
2.12000000e+002, 2.43897607e+003
2.13000000e+002, 2.43514722e+003
2.14000000e+002, 2.43136377e+003
2.15000000e+002, 2.42761719e+003
2.16000000e+002, 2.42390063e+003
2.17000000e+002, 2.42021875e+003
2.18000000e+002, 2.41657324e+003
2.19000000e+002, 2.41296484e+003
2.20000000e+002, 2.40939966e+003
2.21000000e+002, 2.40590454e+003
2.22000000e+002, 2.40250781e+003
2.23000000e+002, 2.39922510e+003
2.24000000e+002, 2.39604565e+003
2.25000000e+002, 2.39296924e+003
2.26000000e+002, 2.39003711e+003
2.27000000e+002, 2.38725146e+003
2.28000000e+002, 2.38454175e+003
2.29000000e+002, 2.38185181e+003
2.30000000e+002, 2.37915649e+003
2.31000000e+002, 2.37643945e+003
2.32000000e+002, 2.37368579e+003
2.33000000e+002, 2.37090234e+003
2.34000000e+002, 2.36809595e+003
2.35000000e+002, 2.36528101e+003
2.36000000e+002, 2.36247095e+003
2.37000000e+002, 2.35968018e+003
2.38000000e+002, 2.35691699e+003
2.39000000e+002, 2.35419873e+003
2.40000000e+002, 2.35152100e+003
2.41000000e+002, 2.34888062e+003
2.42000000e+002, 2.34626978e+003
2.43000000e+002, 2.34367480e+003
2.44000000e+002, 2.34108911e+003
2.45000000e+002, 2.33850513e+003
2.46000000e+002, 2.33591602e+003
2.47000000e+002, 2.33331543e+003
